iter	Passed	Remaining
0	155	155252
1	157	78416
2	158	52693
3	160	39980
4	161	32225
5	163	27051
6	164	23324
7	165	20497
8	166	18295
9	166	16522
10	167	15042
11	167	13824
12	168	12794
13	169	11912
14	169	11134
15	170	10464
16	170	9872
17	171	9346
18	171	8877
19	172	8455
20	173	8074
21	173	7726
22	174	7407
23	174	7116
24	175	6840
25	175	6586
26	176	6357
27	177	6145
28	177	5947
29	178	5768
30	179	5596
31	179	5433
32	180	5282
33	180	5139
34	181	4995
35	181	4868
36	182	4747
37	182	4632
38	183	4519
39	183	4415
40	184	4317
41	185	4219
42	185	4130
43	186	4045
44	186	3964
45	187	3886
46	188	3812
47	188	3741
48	188	3664
49	189	3595
50	189	3529
51	190	3468
52	190	3403
53	190	3344
54	191	3290
55	192	3239
56	192	3181
57	192	3133
58	193	3086
59	194	3041
60	194	2992
61	194	2949
62	195	2909
63	196	2869
64	196	2831
65	197	2788
66	197	2752
67	198	2717
68	198	2678
69	199	2644
70	199	2612
71	200	2580
72	200	2550
73	201	2520
74	202	2491
75	202	2461
76	203	2433
77	203	2406
78	204	2380
79	204	2350
80	204	2325
81	205	2301
82	205	2274
83	206	2251
84	206	2228
85	207	2207
86	207	2182
87	208	2162
88	209	2142
89	210	2123
90	210	2107
91	211	2086
92	212	2067
93	212	2049
94	213	2031
95	213	2013
96	213	1991
97	214	1971
98	214	1954
99	215	1939
100	215	1920
101	215	1901
102	221	1930
103	222	1915
104	222	1900
105	223	1885
106	223	1869
107	224	1852
108	224	1834
109	225	1821
110	225	1807
111	226	1792
112	226	1779
113	227	1766
114	227	1753
115	228	1741
116	229	1728
117	229	1716
118	230	1704
119	230	1693
120	231	1681
121	232	1669
122	232	1656
123	232	1644
124	233	1632
125	233	1621
126	234	1611
127	235	1601
128	235	1591
129	236	1579
130	236	1569
131	237	1559
132	237	1550
133	238	1538
134	238	1526
135	238	1517
136	239	1507
137	239	1498
138	240	1490
139	240	1478
140	240	1467
141	241	1458
142	241	1450
143	242	1441
144	242	1431
145	243	1421
146	243	1414
147	244	1406
148	244	1397
149	245	1389
150	245	1382
151	246	1373
152	246	1366
153	247	1359
154	248	1352
155	248	1343
156	248	1335
157	249	1327
158	249	1321
159	250	1312
160	250	1306
161	251	1299
162	251	1293
163	252	1287
164	253	1281
165	253	1275
166	254	1268
167	254	1262
168	255	1256
169	256	1250
170	256	1242
171	256	1237
172	257	1231
173	257	1224
174	258	1218
175	259	1213
176	259	1207
177	260	1202
178	261	1197
179	261	1192
180	262	1187
181	262	1181
182	263	1176
183	263	1170
184	264	1165
185	265	1160
186	265	1155
187	266	1150
188	266	1145
189	267	1140
190	268	1135
191	268	1128
192	268	1124
193	269	1119
194	270	1115
195	270	1110
196	271	1106
197	271	1101
198	272	1097
199	273	1093
200	273	1089
201	274	1085
202	275	1080
203	275	1076
204	276	1072
205	277	1067
206	277	1063
207	278	1059
208	278	1055
209	279	1051
210	280	1047
211	280	1043
212	281	1039
213	281	1035
214	282	1031
215	283	1027
216	283	1023
217	284	1020
218	284	1014
219	285	1011
220	285	1007
221	286	1003
222	286	999
223	287	996
224	288	992
225	288	988
226	289	985
227	289	981
228	290	977
229	291	974
230	291	970
231	292	967
232	292	964
233	293	961
234	294	958
235	295	955
236	295	951
237	296	948
238	296	945
239	297	942
240	298	939
241	298	935
242	299	932
243	299	929
244	300	926
245	301	923
246	301	919
247	302	916
248	302	913
249	303	910
250	304	907
251	304	904
252	305	901
253	306	898
254	306	895
255	307	892
256	307	890
257	308	887
258	309	884
259	309	881
260	310	878
261	311	876
262	311	873
263	312	870
264	312	867
265	313	864
266	314	862
267	314	859
268	315	856
269	315	853
270	316	851
271	317	848
272	317	845
