iter	RMSE
287	37200.13673
288	37198.35952
289	37196.17582
290	37194.3962
291	37194.22818
292	37192.37777
293	37190.55407
294	37188.49806
295	37186.48851
296	37184.76791
297	37182.62235
298	37180.44468
299	37178.80115
300	37177.2597
301	37175.65736
302	37173.85669
303	37172.09558
304	37170.58098
305	37168.64168
306	37167.08422
307	37165.67645
308	37164.0266
309	37162.10687
310	37160.24954
311	37158.86353
312	37157.49686
313	37155.73915
314	37154.20013
315	37152.40678
316	37150.93477
317	37149.1962
318	37147.9401
319	37146.67561
320	37145.63499
321	37144.04622
322	37142.68333
323	37141.34932
324	37139.81728
325	37138.65978
326	37137.52543
327	37135.97166
328	37135.01595
329	37134.18405
330	37132.68851
331	37131.60984
332	37130.31134
333	37128.94866
334	37128.04584
335	37126.82015
336	37125.68399
337	37124.57148
338	37123.39024
339	37122.39729
340	37121.06772
341	37119.76454
342	37118.56318
343	37117.61427
344	37116.60708
345	37115.51026
346	37114.78044
347	37113.71531
348	37112.8651
349	37111.98454
350	37110.80859
351	37109.9703
352	37108.83043
353	37107.98216
354	37107.12178
355	37106.28095
356	37105.39286
357	37104.52933
358	37103.88935
359	37102.9377
360	37102.00644
361	37101.19398
362	37100.29634
363	37099.57154
364	37098.6635
365	37097.90108
366	37096.9349
367	37096.22588
368	37095.39962
369	37094.69721
370	37094.18361
371	37093.63965
372	37092.92511
373	37092.21147
374	37091.33093
375	37090.52036
376	37089.92748
377	37089.25099
378	37088.59201
379	37087.99738
380	37087.40026
381	37086.77064
382	37086.06178
383	37085.41796
384	37084.88105
385	37084.26402
386	37083.64041
387	37082.87648
388	37082.16499
389	37081.63332
390	37081.03473
391	37080.48997
392	37079.80846
393	37079.26399
394	37078.68077
395	37078.12772
396	37077.56548
397	37077.01427
398	37076.51426
399	37076.10939
400	37075.47812
401	37074.94784
402	37074.33362
403	37073.82194
404	37073.26103
405	37072.70616
406	37072.2158
407	37072.1187
408	37071.63902
409	37071.1459
410	37070.5651
411	37069.94098
412	37069.69296
413	37069.23295
414	37068.99374
415	37068.60671
416	37068.31124
417	37067.86096
418	37067.32459
419	37066.92728
420	37066.53623
421	37066.28808
422	37065.93767
423	37065.49367
424	37064.98695
425	37064.77118
426	37064.27557
427	37063.791
428	37063.38135
429	37062.95965
430	37062.51283
431	37062.1686
432	37061.78279
433	37061.3276
434	37061.07919
435	37060.77318
436	37060.42599
437	37060.02836
438	37059.63958
439	37059.2594
440	37059.01393
441	37058.6545
442	37058.32236
443	37058.11301
444	37057.82293
445	37057.58031
446	37057.31907
447	37056.91203
448	37056.64232
449	37056.33415
450	37056.15888
451	37055.84421
452	37055.76259
453	37055.59404
454	37055.26479
455	37054.87232
456	37054.54861
457	37054.22099
458	37053.90705
459	37053.80417
460	37053.49934
461	37053.47566
462	37053.24518
463	37053.00809
464	37052.68014
465	37052.45558
466	37052.13756
467	37051.77836
468	37051.50917
469	37051.21829
470	37050.99937
471	37050.70986
472	37050.45353
473	37050.18892
474	37050.05655
475	37049.85892
476	37049.58412
477	37049.58012
478	37049.43081
479	37049.31942
480	37049.12583
481	37048.90102
482	37048.82606
483	37048.55418
484	37048.27223
485	37048.09368
486	37047.97686
487	37047.79804
488	37047.48143
489	37047.30116
490	37047.11604
491	37046.81741
492	37046.57575
493	37046.33852
494	37046.0913
495	37045.98631
496	37045.77822
497	37045.61525
498	37045.41407
499	37045.17472
500	37044.88557
501	37044.71914
502	37044.66191
503	37044.43198
504	37044.16052
505	37044.00929
506	37043.86113
507	37043.62984
508	37043.36017
509	37043.31063
510	37043.09192
511	37042.90603
512	37042.67557
513	37042.50022
514	37042.22794
515	37042.03265
516	37041.90199
517	37041.76792
518	37041.63674
519	37041.47477
520	37041.30971
521	37041.09851
522	37041.05331
523	37040.89863
524	37040.68903
525	37040.56935
526	37040.45209
527	37040.33351
528	37040.27057
529	37040.11903
530	37040.00238
531	37039.85495
532	37039.66748
533	37039.47226
534	37039.3619
535	37039.16694
536	37038.94117
537	37038.72242
538	37038.6206
539	37038.40702
540	37038.28154
541	37038.11076
542	37038.01636
543	37037.8381
544	37037.70566
545	37037.55288
546	37037.39067
547	37037.26759
548	37037.095
549	37036.89187
550	37036.69334
551	37036.53961
552	37036.44393
553	37036.35029
554	37036.2671
555	37036.21765
556	37036.09892
557	37035.98262
558	37035.8999
559	37035.81908
560	37035.77742
561	37035.67299
562	37035.56669
563	37035.37882
564	37035.29978
565	37035.24768
566	37035.20347
567	37035.12172
568	37034.93969
569	37034.91334
570	37034.8375
571	37034.65291
572	37034.50194
573	37034.35764
574	37034.31771
575	37034.24394
576	37034.20469
577	37034.10571
578	37034.03588
579	37033.96742
580	37033.87282
581	37033.80686
582	37033.74217
583	37033.69769
584	37033.63452
585	37033.62566
586	37033.5846
587	37033.42168
588	37033.29434
589	37033.27605
590	37033.18979
591	37033.10075
592	37033.01363
593	37032.9553
594	37032.82409
595	37032.67349
596	37032.55105
597	37032.42836
598	37032.28377
599	37032.21685
600	37032.1845
601	37032.15294
602	37032.00376
603	37031.86437
604	37031.75143
605	37031.60818
606	37031.47425
607	37031.36657
608	37031.29066
609	37031.18557
610	37031.08235
611	37030.9558
612	37030.88165
613	37030.83143
614	37030.69859
615	37030.6287
616	37030.5568
617	37030.42701
618	37030.39805
619	37030.37098
620	37030.31433
621	37030.25759
622	37030.19062
623	37030.09674
624	37030.03929
625	37029.98487
626	37029.92076
627	37029.87693
628	37029.76137
629	37029.65055
630	37029.59886
631	37029.58895
632	37029.5214
633	37029.42568
634	37029.33956
635	37029.22355
636	37029.19857
637	37029.17107
638	37029.05703
639	37029.00829
640	37028.91764
641	37028.87014
642	37028.76679
643	37028.68605
644	37028.6396
645	37028.58098
646	37028.53736
647	37028.45117
648	37028.41397
649	37028.33604
650	37028.2535
651	37028.21733
652	37028.13676
653	37028.09406
654	37027.99277
655	37027.97371
656	37027.8923
657	37027.87385
658	37027.85585
659	37027.84813
660	37027.76852
661	37027.7511
662	37027.74371
663	37027.72673
664	37027.68745
665	37027.63288
666	37027.60065
667	37027.52997
668	37027.45489
669	37027.42347
670	37027.34977
671	37027.2775
672	37027.22763
673	37027.13798
674	37027.10722
675	37027.09209
676	37027.06224
677	37027.01222
678	37026.97692
679	37026.89402
680	37026.80856
681	37026.78768
682	37026.74177
683	37026.72794
684	37026.7271
685	37026.65675
686	37026.61546
687	37026.58846
688	37026.51223
689	37026.49934
690	37026.48676
691	37026.44722
692	37026.41645
693	37026.35578
694	37026.27633
695	37026.25739
696	37026.19859
697	37026.16883
698	37026.13973
699	37026.08185
700	37026.064
701	37025.99045
702	37025.9788
703	37025.9066
704	37025.87854
705	37025.8511
706	37025.81342
707	37025.80276
708	37025.79331
709	37025.75124
710	37025.72843
711	37025.7079
712	37025.6381
713	37025.61246
714	37025.55621
715	37025.52097
716	37025.50539
717	37025.43541
718	37025.4115
719	37025.40674
720	37025.33812
721	37025.30708
722	37025.28674
723	37025.2668
724	37025.25831
725	37025.25001
726	37025.18556
727	37025.1634
728	37025.09749
729	37025.05965
730	37024.99946
731	37024.99158
732	37024.98388
733	37024.9225
734	37024.8626
735	37024.84401
736	37024.82579
737	37024.80528
738	37024.75874
739	37024.75128
740	37024.7444
741	37024.73122
742	37024.7153
743	37024.69577
744	37024.6768
745	37024.61643
746	37024.59103
747	37024.53576
748	37024.51782
749	37024.46652
750	37024.41075
751	37024.36699
752	37024.3114
753	37024.29569
754	37024.25172
755	37024.24823
756	37024.23088
757	37024.19872
758	37024.17729
759	37024.17466
760	37024.132
761	37024.121
762	37024.10677
763	37024.10378
764	37024.0884
765	37024.07356
766	37024.07078
767	37024.05587
768	37024.04147
769	37024.02882
770	37023.97514
771	37023.94475
772	37023.89243
773	37023.88641
774	37023.83511
775	37023.82163
776	37023.78246
777	37023.77671
778	37023.7384
779	37023.73604
780	37023.70049
781	37023.68022
782	37023.64251
783	37023.64025
784	37023.61339
785	37023.59746
786	37023.58649
787	37023.53862
788	37023.49155
789	37023.45039
790	37023.40866
791	37023.36332
792	37023.33879
793	37023.3293
794	37023.32387
795	37023.31458
796	37023.27044
797	37023.22907
798	37023.22707
799	37023.20362
800	37023.18539
801	37023.16753
802	37023.15605
803	37023.15101
804	37023.14227
805	37023.1284
806	37023.09718
807	37023.07446
808	37023.06514
809	37023.0542
810	37023.01303
811	37022.97254
812	37022.95352
813	37022.94319
814	37022.93019
815	37022.92208
816	37022.9095
817	37022.89957
818	37022.89179
819	37022.88763
820	37022.87564
821	37022.84556
822	37022.81609
823	37022.78729
824	37022.75885
825	37022.75166
826	37022.74353
827	37022.70563
828	37022.70151
829	37022.69033
830	37022.66431
831	37022.66261
832	37022.64883
833	37022.62883
834	37022.59238
835	37022.58315
836	37022.57401
837	37022.54936
838	37022.54114
839	37022.53053
840	37022.51023
841	37022.5086
842	37022.50478
843	37022.49454
844	37022.48739
845	37022.46323
846	37022.45318
847	37022.42016
848	37022.39538
849	37022.37099
850	37022.33758
851	37022.33394
852	37022.33243
853	37022.32888
854	37022.31924
855	37022.30983
856	37022.29216
857	37022.28405
858	37022.28077
859	37022.27289
860	37022.24474
861	37022.2217
862	37022.19015
863	37022.1689
864	37022.13811
865	37022.13046
866	37022.10026
867	37022.0893
868	37022.08788
869	37022.08139
870	37022.05174
871	37022.04454
872	37022.0245
873	37022.01411
874	37022.00393
875	37021.99573
876	37021.9929
877	37021.97737
878	37021.96753
879	37021.95912
880	37021.95844
881	37021.94339
882	37021.94048
883	37021.91243
884	37021.89784
885	37021.87437
886	37021.85146
887	37021.83282
888	37021.81938
889	37021.81148
890	37021.79351
891	37021.78836
892	37021.78497
893	37021.78345
894	37021.76218
895	37021.7361
896	37021.72151
897	37021.71833
898	37021.69424
899	37021.68006
900	37021.67688
901	37021.66946
902	37021.66286
903	37021.64697
904	37021.63856
905	37021.63141
906	37021.62327
907	37021.62036
908	37021.60083
909	37021.5998
910	37021.58791
911	37021.58419
912	37021.5655
913	37021.55409
914	37021.54713
915	37021.54034
916	37021.51767
917	37021.51478
918	37021.49989
919	37021.47674
920	37021.4593
921	37021.44514
922	37021.44376
923	37021.43728
924	37021.4149
925	37021.40457
926	37021.40162
927	37021.40138
928	37021.3912
929	37021.36965
930	37021.35975
931	37021.35575
932	37021.34972
933	37021.33377
934	37021.31281
935	37021.30695
936	37021.30564
937	37021.29614
938	37021.29012
939	37021.27483
940	37021.27108
941	37021.26829
942	37021.26335
943	37021.25772
944	37021.25647
945	37021.2472
946	37021.24451
947	37021.22474
948	37021.21832
949	37021.21298
950	37021.20776
951	37021.20534
952	37021.1992
953	37021.18704
954	37021.18177
955	37021.17831
956	37021.17726
957	37021.16538
958	37021.1596
959	37021.15394
960	37021.14896
961	37021.14416
962	37021.13263
963	37021.13034
964	37021.12553
965	37021.11157
966	37021.09418
967	37021.08317
968	37021.07184
969	37021.06079
970	37021.04424
971	37021.04129
972	37021.02375
973	37021.02273
974	37021.0126
975	37021.00847
976	37021.00612
977	37021.00514
978	37021.00419
979	37020.99642
980	37020.99134
981	37020.9904
982	37020.98819
983	37020.97807
984	37020.97318
985	37020.97086
986	37020.95418
987	37020.94426
988	37020.9349
989	37020.92538
990	37020.92076
991	37020.91814
992	37020.91744
993	37020.91519
994	37020.91299
995	37020.91209
996	37020.90956
997	37020.90014
998	37020.89798
999	37020.8939
