,salary_in_usd,experience_level_EX,experience_level_MI,experience_level_SE,employment_type_FL,employment_type_FT,employment_type_PT,company_size_M,company_size_S,work_year_2021,work_year_2022,remote_ratio_50,remote_ratio_100,job_title_Data Engineer,job_title_Data Scientist,job_title_Machine Learning Engineer
118,150000,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0
119,95000,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0
124,145000,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
125,115000,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
128,175950,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0
129,130050,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0
130,205600,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
131,105700,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
132,236600,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0
133,89200,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0
136,80000,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0
141,185900,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
142,129300,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
143,169000,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0
144,110600,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0
147,225000,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
148,184100,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
149,185900,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0
150,129300,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0
151,225000,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0
152,156400,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0
153,185900,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0
154,129300,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0
155,108000,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1
157,155000,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
158,38000,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
159,85000,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0
160,65000,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0
161,155000,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
162,38000,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
165,153600,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
166,106800,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
167,185000,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
168,50000,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
169,185900,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
170,129300,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
171,155000,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
172,38000,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
173,168000,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
174,130000,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
175,123400,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0
176,88100,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0
177,120000,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0
178,55000,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0
179,185900,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0
180,129300,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0
181,191200,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
182,130000,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
183,169000,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0
184,110600,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0
189,185900,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0
190,129300,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0
191,139600,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0
192,85700,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0
193,185000,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0
194,50000,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0
195,185900,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
196,129300,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
197,225000,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0
198,156400,0,0,1,0,1,0,1,0,0,1,0,0,0,1,0
199,200000,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
200,175000,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
201,185900,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
202,129300,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0
205,115000,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0
206,95000,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0
209,185000,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
210,50000,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
215,105000,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0
216,62000,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0
